protocol,network,contract_address,source,status,contract_name,abi_path
messina_bridge,arbitrum,,not-found,skip,Unknown,
o3_swap,arbitrum,,not-found,skip,Unknown,
router_protocol,arbitrum,,not-found,skip,Unknown,
spherium,arbitrum,,not-found,skip,Unknown,
stargate_v1,arbitrum,,not-found,skip,Unknown,
stargate_v2,arbitrum,,not-found,skip,Unknown,
symbiosis,arbitrum,,not-found,skip,Unknown,
synapse,arbitrum,,not-found,skip,Unknown,
xy_finance,arbitrum,,not-found,skip,Unknown,
createdao,arbitrum,,not-found,skip,Unknown,
balmy,arbitrum,,not-found,skip,Unknown,
onedollardcae,arbitrum,,not-found,skip,Unknown,
aboard_exchange,arbitrum,,not-found,skip,Unknown,
aevo_perps,arbitrum,,not-found,skip,Unknown,
alphax,arbitrum,,not-found,skip,Unknown,
apex_omni,arbitrum,,not-found,skip,Unknown,
apex_pro,arbitrum,,not-found,skip,Unknown,
arcanum,arbitrum,,not-found,skip,Unknown,
atomic_green,arbitrum,,not-found,skip,Unknown,
blex,arbitrum,,not-found,skip,Unknown,
bluefin_legacy,arbitrum,,not-found,skip,Unknown,
boros,arbitrum,,not-found,skip,Unknown,
bracketx,arbitrum,,not-found,skip,Unknown,
cap_finance_v1_v3,arbitrum,,not-found,skip,Unknown,
cap_finance_v4,arbitrum,,not-found,skip,Unknown,
chromatic_protocol,arbitrum,,not-found,skip,Unknown,
contango_v1,arbitrum,,not-found,skip,Unknown,
contango_v2,arbitrum,,not-found,skip,Unknown,
cryptex_pi,arbitrum,,not-found,skip,Unknown,
cryptex_v2,arbitrum,,not-found,skip,Unknown,
d8x,arbitrum,,not-found,skip,Unknown,
defx,arbitrum,,not-found,skip,Unknown,
derive_v2,arbitrum,,not-found,skip,Unknown,
desk_perps,arbitrum,,not-found,skip,Unknown,
doubler,arbitrum,,not-found,skip,Unknown,
el_dorado_exchange,arbitrum,,not-found,skip,Unknown,
elfi_protocol,arbitrum,,not-found,skip,Unknown,
equation_v1,arbitrum,,not-found,skip,Unknown,
equation_v2,arbitrum,,not-found,skip,Unknown,
equation_v3,arbitrum,,not-found,skip,Unknown,
ethosx,arbitrum,,not-found,skip,Unknown,
fufuture,arbitrum,,not-found,skip,Unknown,
futureswap,arbitrum,,not-found,skip,Unknown,
gains_network,arbitrum,,not-found,skip,Unknown,
gambit_trade,arbitrum,,not-found,skip,Unknown,
gammaswap_classic,arbitrum,,not-found,skip,Unknown,
gmx_v1_perps,arbitrum,,not-found,skip,Unknown,
gmx_v2_perps,arbitrum,,not-found,skip,Unknown,
goodentry,arbitrum,,not-found,skip,Unknown,
handle_fi_hsp,arbitrum,,not-found,skip,Unknown,
handle_fi_perps,arbitrum,,not-found,skip,Unknown,
hashdao_finance,arbitrum,,not-found,skip,Unknown,
hmx,arbitrum,,not-found,skip,Unknown,
ideamarket,arbitrum,,not-found,skip,Unknown,
intentx,arbitrum,,not-found,skip,Unknown,
ipor_derivatives,arbitrum,,not-found,skip,Unknown,
jarvis_network,arbitrum,,not-found,skip,Unknown,
jetstream,arbitrum,,not-found,skip,Unknown,
jojo,arbitrum,,not-found,skip,Unknown,
ktx_perps,arbitrum,,not-found,skip,Unknown,
level_perps,arbitrum,,not-found,skip,Unknown,
lexer_markets,arbitrum,,not-found,skip,Unknown,
lighter_v2,arbitrum,,not-found,skip,Unknown,
limitless,arbitrum,,not-found,skip,Unknown,
liondex,arbitrum,,not-found,skip,Unknown,
logx_v2,arbitrum,,not-found,skip,Unknown,
lynx,arbitrum,,not-found,skip,Unknown,
marginly,arbitrum,,not-found,skip,Unknown,
mufex,arbitrum,,not-found,skip,Unknown,
mummy_finance,arbitrum,,not-found,skip,Unknown,
mux_perps,arbitrum,,not-found,skip,Unknown,
mycelium_perpetual_pools,arbitrum,,not-found,skip,Unknown,
mycelium_perpetual_swaps,arbitrum,,not-found,skip,Unknown,
mymetatrader,arbitrum,,not-found,skip,Unknown,
myx_finance,arbitrum,,not-found,skip,Unknown,
narwhal_finance,arbitrum,,not-found,skip,Unknown,
numoen,arbitrum,,not-found,skip,Unknown,
openworld_perps,arbitrum,,not-found,skip,Unknown,
ostium,arbitrum,,not-found,skip,Unknown,
ostrich,arbitrum,,not-found,skip,Unknown,
pairex,arbitrum,,not-found,skip,Unknown,
perennial_v1,arbitrum,,not-found,skip,Unknown,
perennial_v2,arbitrum,,not-found,skip,Unknown,
pingu_exchange,arbitrum,,not-found,skip,Unknown,
predy_v2,arbitrum,,not-found,skip,Unknown,
predy_v3,arbitrum,,not-found,skip,Unknown,
predy_v3_2,arbitrum,,not-found,skip,Unknown,
predy_v5,arbitrum,,not-found,skip,Unknown,
prepo,arbitrum,,not-found,skip,Unknown,
primex_finance,arbitrum,,not-found,skip,Unknown,
rabbitx,arbitrum,,not-found,skip,Unknown,
rho_protocol,arbitrum,,not-found,skip,Unknown,
roseonx,arbitrum,,not-found,skip,Unknown,
rubydex,arbitrum,,not-found,skip,Unknown,
ryze_fi,arbitrum,,not-found,skip,Unknown,
satori_perp,arbitrum,,not-found,skip,Unknown,
spacedex,arbitrum,,not-found,skip,Unknown,
spacewhale,arbitrum,,not-found,skip,Unknown,
strips_finance,arbitrum,,not-found,skip,Unknown,
substance_exchange,arbitrum,,not-found,skip,Unknown,
synfutures_v1,arbitrum,,not-found,skip,Unknown,
synthetix_v3,arbitrum,,not-found,skip,Unknown,
tigris,arbitrum,,not-found,skip,Unknown,
toros,arbitrum,,not-found,skip,Unknown,
tribe3,arbitrum,,not-found,skip,Unknown,
unidex_perp,arbitrum,,not-found,skip,Unknown,
unlimited_network,arbitrum,,not-found,skip,Unknown,
urdex_finance,arbitrum,,not-found,skip,Unknown,
vega_protocol,arbitrum,,not-found,skip,Unknown,
vela_exchange,arbitrum,,not-found,skip,Unknown,
vertex_perps,arbitrum,,not-found,skip,Unknown,
vest_exchange,arbitrum,,not-found,skip,Unknown,
voltz,arbitrum,,not-found,skip,Unknown,
y2k_v1,arbitrum,,not-found,skip,Unknown,
y2k_v2,arbitrum,,not-found,skip,Unknown,
yfx,arbitrum,,not-found,skip,Unknown,
yfx_v4,arbitrum,,not-found,skip,Unknown,
yieldflow_ytrade,arbitrum,,not-found,skip,Unknown,
sqd_ai,arbitrum,,not-found,skip,Unknown,
the_graph,arbitrum,,not-found,skip,Unknown,
definitive,arbitrum,,not-found,skip,Unknown,
hashflow,arbitrum,,not-found,skip,Unknown,
openocean,arbitrum,,not-found,skip,Unknown,
3xcalibur,arbitrum,,not-found,skip,Unknown,
akronswap,arbitrum,,not-found,skip,Unknown,
alienfi,arbitrum,,not-found,skip,Unknown,
apeswap_amm,arbitrum,,not-found,skip,Unknown,
arbiswap,arbitrum,,not-found,skip,Unknown,
arbitrum_exchange_v2,arbitrum,,not-found,skip,Unknown,
arbitrum_exchange_v3,arbitrum,,not-found,skip,Unknown,
arbswap_amm,arbitrum,,not-found,skip,Unknown,
arbswap_stableswap,arbitrum,,not-found,skip,Unknown,
archly_v1,arbitrum,,not-found,skip,Unknown,
archly_v2,arbitrum,,not-found,skip,Unknown,
auragi_finance,arbitrum,,not-found,skip,Unknown,
balanced_exchange,arbitrum,,not-found,skip,Unknown,
balancer_cow_amm,arbitrum,,not-found,skip,Unknown,
balancer_v2,arbitrum,,not-found,skip,Unknown,
balancer_v3,arbitrum,,not-found,skip,Unknown,
basin_exchange,arbitrum,,not-found,skip,Unknown,
beluga_dex,arbitrum,,not-found,skip,Unknown,
biswap_v3,arbitrum,,not-found,skip,Unknown,
bridgers,arbitrum,,not-found,skip,Unknown,
brownfi,arbitrum,,not-found,skip,Unknown,
bunni_v2,arbitrum,,not-found,skip,Unknown,
burve_protocol,arbitrum,,not-found,skip,Unknown,
cables_finance,arbitrum,,not-found,skip,Unknown,
camelot_v2,arbitrum,,not-found,skip,Unknown,
camelot_v3,arbitrum,,not-found,skip,Unknown,
chimeradex_swap,arbitrum,,not-found,skip,Unknown,
chronos_v1,arbitrum,,not-found,skip,Unknown,
chronos_v2,arbitrum,,not-found,skip,Unknown,
clipper,arbitrum,,not-found,skip,Unknown,
clober_v1,arbitrum,,not-found,skip,Unknown,
coffee_dex,arbitrum,,not-found,skip,Unknown,
crescentswap,arbitrum,,not-found,skip,Unknown,
croswap,arbitrum,,not-found,skip,Unknown,
crowdswap,arbitrum,,not-found,skip,Unknown,
curve_dex,arbitrum,,not-found,skip,Unknown,
dackieswap_v2,arbitrum,,not-found,skip,Unknown,
dackieswap_v3,arbitrum,,not-found,skip,Unknown,
dbx_finance,arbitrum,,not-found,skip,Unknown,
deltaswap,arbitrum,,not-found,skip,Unknown,
dexalot_dex,arbitrum,,not-found,skip,Unknown,
dexilla,arbitrum,,not-found,skip,Unknown,
dexswap,arbitrum,,not-found,skip,Unknown,
dfx_v2,arbitrum,,not-found,skip,Unknown,
dfx_v3,arbitrum,,not-found,skip,Unknown,
dodo_amm,arbitrum,,not-found,skip,Unknown,
donaswap_v2,arbitrum,,not-found,skip,Unknown,
e3,arbitrum,,not-found,skip,Unknown,
elk,arbitrum,,not-found,skip,Unknown,
flashliquidity,arbitrum,,not-found,skip,Unknown,
forge_sx_trade,arbitrum,,not-found,skip,Unknown,
frax_swap,arbitrum,,not-found,skip,Unknown,
fundex,arbitrum,,not-found,skip,Unknown,
gast,arbitrum,,not-found,skip,Unknown,
gridex,arbitrum,,not-found,skip,Unknown,
gyroscope_protocol,arbitrum,,not-found,skip,Unknown,
hamburger_finance,arbitrum,,not-found,skip,Unknown,
horiza,arbitrum,,not-found,skip,Unknown,
integral,arbitrum,,not-found,skip,Unknown,
iziswap,arbitrum,,not-found,skip,Unknown,
joe_v2,arbitrum,,not-found,skip,Unknown,
joe_v2_1,arbitrum,,not-found,skip,Unknown,
joe_v2_2,arbitrum,,not-found,skip,Unknown,
kaleidocube,arbitrum,,not-found,skip,Unknown,
kewl_exchange,arbitrum,,not-found,skip,Unknown,
kromatika,arbitrum,,not-found,skip,Unknown,
kyberswap_classic,arbitrum,,not-found,skip,Unknown,
kyberswap_elastic,arbitrum,,not-found,skip,Unknown,
kyborg_exchange,arbitrum,,not-found,skip,Unknown,
lfgswap_arbitrum,arbitrum,,not-found,skip,Unknown,
lighter_v1,arbitrum,,not-found,skip,Unknown,
magicfox_swap,arbitrum,,not-found,skip,Unknown,
mangrove,arbitrum,,not-found,skip,Unknown,
maverick_v2,arbitrum,,not-found,skip,Unknown,
mcdex,arbitrum,,not-found,skip,Unknown,
mim_swap,arbitrum,,not-found,skip,Unknown,
